,person_id,num_trips,value_of_time,trip_counter,ActivityTime,tripmode,orig_purpose,dest_purpose,orig_maz,orig_taz,dest_maz,dest_taz,driver_passenger_flag,joint_trip_flag,park&ride_flag,starttimeinterval,starttime,hh_id,origin_node,destination_node,Diff_bet_starttime,travel_time,person_type,earlyarr_penalty,latearr_penalty,hh_index,p_id
483,7657479,19,0.1505,1,208.0,1,Home,Discretionary,66,17,7,2,1,0,0,1,3.0,2238689,10336,9865,213.0,5.0,Full-time-worker,0.01,0.01,0,0
6338,7657482,8,0.1003,1,165.0,3,Home,Visiting,66,17,68,17,-1,0,0,1,40.0,2238689,10541,10540,169.0,4.0,Student-of-non-driving-age,0.01,0.01,1,3
26560,7657483,11,0.1003,1,16.0,7,Home,Discretionary,66,17,71,18,-1,0,0,2,141.0,2238689,10337,10710,28.0,12.0,Student-of-non-driving-age,0.01,0.01,2,4
26561,7657483,11,0.1003,2,28.0,7,discretionary,Home,71,18,66,17,-1,0,0,3,169.0,2238689,10540,10541,42.0,14.0,Student-of-non-driving-age,0.0,0.02,3,4
6339,7657482,8,0.1003,2,50.0,3,visiting,Home,68,17,66,17,-1,0,0,4,209.0,2238689,10594,10335,54.0,4.0,Student-of-non-driving-age,0.0,0.02,4,3
26562,7657483,11,0.1003,3,485.0,7,Home,School,66,17,63,16,-1,0,0,5,211.0,2238689,10443,10639,499.0,14.0,Student-of-non-driving-age,0.2,0.5,5,4
484,7657479,19,0.1505,2,30.0,5,discretionary,Home,7,2,66,17,1,0,0,5,216.0,2238689,10108,10443,36.0,6.0,Full-time-worker,0.0,0.02,6,0
485,7657479,19,0.1505,3,29.0,1,Home,Visiting,66,17,71,18,1,0,0,6,252.0,2238689,10542,10708,30.0,1.0,Full-time-worker,0.01,0.01,7,0
6340,7657482,8,0.1003,3,705.0,3,Home,School,66,17,70,18,-1,0,0,6,263.0,2238689,10492,10646,708.0,3.0,Student-of-non-driving-age,0.2,0.5,8,3
155169,7657480,9,0.1505,1,467.0,7,Home,Work,66,17,69,18,-1,0,0,6,267.0,2238689,10013,10710,481.0,14.0,Part-time-worker,0.2,0.5,9,1
163681,7657481,5,0.1003,1,73.0,1,Home,EatingOut,66,17,55,14,3,0,0,7,272.0,2238689,10595,10759,76.0,3.0,Student-of-driving-age,0.01,0.01,10,2
486,7657479,19,0.1505,4,43.0,1,visiting,Home,71,18,66,17,1,0,0,7,282.0,2238689,10613,10492,46.0,3.0,Full-time-worker,0.0,0.02,11,0
487,7657479,19,0.1505,5,114.0,1,Home,Discretionary,66,17,60,15,1,0,0,8,328.0,2238689,10336,10444,116.0,2.0,Full-time-worker,0.01,0.01,12,0
163682,7657481,5,0.1003,2,485.0,1,EatingOut,School,55,14,70,18,3,0,0,9,348.0,2238689,10597,10708,490.0,5.0,Student-of-driving-age,0.2,0.5,13,2
488,7657479,19,0.1505,6,69.0,1,Discretionary,Work,60,15,33,9,1,0,0,12,444.0,2238689,10444,10337,73.0,4.0,Full-time-worker,0.2,0.5,14,0
489,7657479,19,0.1505,7,11.0,1,Work,EatingOut,33,9,33,9,1,0,0,15,517.0,2238689,10144,10337,14.0,3.0,Full-time-worker,0.01,0.01,15,0
490,7657479,19,0.1505,8,57.0,1,EatingOut,WorkBased,33,9,33,9,1,0,0,15,531.0,2238689,10144,10337,60.0,3.0,Full-time-worker,0.2,0.5,16,0
491,7657479,19,0.1505,9,157.0,1,work-based,Work,33,9,33,9,1,0,0,17,591.0,2238689,10338,10337,160.0,3.0,Full-time-worker,0.2,0.5,17,0
26563,7657483,11,0.1003,4,9.0,7,school,Discretionary,63,16,67,17,-1,0,0,21,710.0,2238689,10592,10540,20.0,11.0,Student-of-non-driving-age,0.01,0.01,18,4
26564,7657483,11,0.1003,5,51.0,7,Discretionary,Home,67,17,66,17,-1,0,0,22,730.0,2238689,10443,10335,65.0,14.0,Student-of-non-driving-age,0.0,0.02,19,4
155170,7657480,9,0.1505,2,136.0,7,work,Home,69,18,66,17,-1,0,0,22,748.0,2238689,10594,10541,148.0,12.0,Part-time-worker,0.0,0.02,20,1
492,7657479,19,0.1505,10,97.0,1,work,Home,33,9,66,17,1,0,0,23,751.0,2238689,10144,10443,98.0,1.0,Full-time-worker,0.0,0.02,21,0
26565,7657483,11,0.1003,6,174.0,3,Home,Shop,66,17,55,14,-1,0,0,24,795.0,2238689,10594,10598,187.0,13.0,Student-of-non-driving-age,0.01,0.01,22,4
163683,7657481,5,0.1003,3,84.0,1,school,Home,70,18,66,17,3,0,0,25,838.0,2238689,10594,10541,88.0,4.0,Student-of-driving-age,0.0,0.02,23,2
493,7657479,19,0.1505,11,16.0,3,Home,Escort,66,17,66,17,-1,0,0,26,849.0,2238689,10492,10336,21.0,5.0,Full-time-worker,0.2,1.0,24,0
494,7657479,19,0.1505,12,9.0,3,Escort,Escort,66,17,66,17,-1,0,0,27,870.0,2238689,10336,10443,14.0,5.0,Full-time-worker,0.2,1.0,25,0
495,7657479,19,0.1505,13,5.0,3,Escort,Escort,66,17,21,6,-1,0,0,27,884.0,2238689,10147,10338,11.0,6.0,Full-time-worker,0.2,1.0,26,0
496,7657479,19,0.1505,14,60.0,3,escort,Home,21,6,66,17,-1,0,0,27,895.0,2238689,10144,10443,64.0,4.0,Full-time-worker,0.0,0.02,27,0
155171,7657480,9,0.1505,3,15.0,5,Home,Escort,66,17,65,17,2,0,0,27,896.0,2238689,10336,10335,20.0,5.0,Part-time-worker,0.2,1.0,28,1
155172,7657480,9,0.1505,4,71.0,5,escort,Home,65,17,66,17,2,0,0,28,916.0,2238689,10595,10443,76.0,5.0,Part-time-worker,0.0,0.02,29,1
163684,7657481,5,0.1003,4,89.0,7,Home,Shop,66,17,20,5,-1,0,0,28,926.0,2238689,10539,10057,101.0,12.0,Student-of-driving-age,0.01,0.01,30,2
497,7657479,19,0.1505,15,5.0,1,Home,Shop,66,17,63,16,1,0,0,29,959.0,2238689,10337,10757,10.0,5.0,Full-time-worker,0.01,0.01,31,0
498,7657479,19,0.1505,16,10.0,1,shop,Shop,63,16,71,18,1,0,0,30,969.0,2238689,10542,10710,12.0,2.0,Full-time-worker,0.01,0.01,32,0
6341,7657482,8,0.1003,4,44.0,3,school,Home,70,18,66,17,-1,0,0,30,971.0,2238689,10594,10540,45.0,1.0,Student-of-non-driving-age,0.0,0.02,33,3
499,7657479,19,0.1505,17,5.0,1,Shop,EatingOut,71,18,64,16,1,0,0,30,981.0,2238689,10591,10757,6.0,1.0,Full-time-worker,0.01,0.01,34,0
26566,7657483,11,0.1003,7,29.0,5,shop,Home,55,14,66,17,-1,0,0,30,982.0,2238689,10440,10540,34.0,5.0,Student-of-non-driving-age,0.0,0.02,35,4
500,7657479,19,0.1505,18,73.0,1,EatingOut,Shop,64,16,68,17,1,0,0,30,987.0,2238689,10716,10443,75.0,2.0,Full-time-worker,0.01,0.01,36,0
155173,7657480,9,0.1505,5,12.0,1,Home,Maintenance,66,17,47,12,2,0,0,31,992.0,2238689,10542,10147,13.0,1.0,Part-time-worker,0.01,0.01,37,1
155174,7657480,9,0.1505,6,5.0,1,maintenance,EatingOut,47,12,68,17,2,0,0,31,1005.0,2238689,10335,10540,6.0,1.0,Part-time-worker,0.01,0.01,38,1
155175,7657480,9,0.1505,7,26.0,1,EatingOut,Home,68,17,66,17,2,0,0,31,1011.0,2238689,10335,10443,31.0,5.0,Part-time-worker,0.0,0.02,39,1
6342,7657482,8,0.1003,5,54.0,7,Home,Discretionary,66,17,57,15,-1,1,0,31,1016.0,2238689,10492,10445,66.0,12.0,Student-of-non-driving-age,0.01,0.01,40,3
163685,7657481,5,0.1003,5,402.0,7,shop,Home,20,5,66,17,-1,0,0,32,1027.0,2238689,9864,10492,-755.0,11.0,Student-of-driving-age,0.0,0.02,41,2
155176,7657480,9,0.1505,8,25.0,3,Home,Escort,66,17,60,15,2,0,0,32,1042.0,2238689,10595,10542,26.0,1.0,Part-time-worker,0.2,1.0,42,1
501,7657479,19,0.1505,19,374.0,1,Shop,Home,68,17,66,17,1,0,0,33,1062.0,2238689,10594,10336,-1059.0,4.0,Full-time-worker,0.0,0.02,43,0
155177,7657480,9,0.1505,9,371.0,3,escort,Home,60,15,66,17,2,0,0,33,1068.0,2238689,10541,10443,-801.0,1.0,Part-time-worker,0.0,0.02,44,1
6343,7657482,8,0.1003,6,90.0,7,discretionary,Home,57,15,66,17,-1,1,0,34,1082.0,2238689,10443,10443,100.0,10.0,Student-of-non-driving-age,0.0,0.02,45,3
6344,7657482,8,0.1003,7,20.0,7,Home,Maintenance,66,17,61,16,-1,1,0,37,1182.0,2238689,10337,10750,31.0,11.0,Student-of-non-driving-age,0.01,0.01,46,3
6345,7657482,8,0.1003,8,212.0,7,maintenance,Home,61,16,66,17,-1,1,0,38,1213.0,2238689,10757,10492,-1173.0,15.0,Student-of-non-driving-age,0.0,0.02,47,3
