           2           0
         personTypes         0         1         1
  personTypeNumTrips         0         6         8
     numParticipants         0
        participants         0
       numJointTrips         0         0         0
   numCompletedTrips         0         6         8
         orgActTypes         0         0         1         1         1         5         4         0         9         9         0         5         4         0         1
         dstActTypes         0         1         1         1         5         4         0         9         9         0         5         4         0         1         0
          jointTrips         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
tripPlannedDeparture         0       210       542       588       776       809       815       195       306       318       352       392       436       737      1074
     tripPlannedTime         0         5         5         4         6         0        17         0        12         7         1         4         5         2         3
tripSimulatedDepartu         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
   tripSimulatedTime         0         4         1         4         8         0        85         0         1         2         1         4        10         5         2
    tripExpectedTime         0         4         1         4         8         0        85         0         1         2         1         4        10         5         2
tripAdjustedDepartur         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
        diffPlan,Sim         0        -1        -4         0         2         0        68         0       -11        -5         0         0         5         3        -1
